Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds,Elevation
0,0,0,220520,223632,42.17172329,-90.11036246,3796,181.5,2.3,1.183,0,208.7002
1,0,1,220520,223633,42.1717113,-90.11036119,4097,175.5,2.6,0.154,1,208.7002
2,0,2,220520,223634,42.17170142,-90.11035791,4194,166.2,2.2,-0.206,1,208.7002
3,0,3,220520,223635,42.17169186,-90.11035317,3892,159.8,2.2,0,1,208.7002
4,0,4,220520,223636,42.17168284,-90.11034683,4078,152.5,2.2,0,1,208.7002
5,0,5,220520,223637,42.17167694,-90.11034188,4003,148.1,1.5,-0.36,1,208.7002
6,0,6,220520,223638,42.17167079,-90.11040249,4389,262.2,9.8,4.27,1,208.10059
7,0,7,220520,223639,42.17166971,-90.1104624,3964,268.6,9.6,-0.103,1,208.10059
8,0,8,220520,223640,42.17167312,-90.11051839,4290,274.7,9,-0.309,1,208.40039
9,0,9,220520,223641,42.17168,-90.11057,4106,280.2,8.4,-0.309,1,209.7002
10,1,0,220520,223647,42.17178842,-90.11080305,4213,331.6,7,-0.412,6,211.40039
11,1,1,220520,223648,42.17182363,-90.11081375,4301,347.3,7.8,0.412,1,212.40039
12,1,2,220520,223649,42.17186097,-90.11081798,4285,355.2,8.1,0.154,1,212.40039
13,1,3,220520,223650,42.17190538,-90.11081819,4364,359.8,9.6,0.772,1,213.2998
14,1,4,220520,223651,42.17195248,-90.11081408,4372,3.7,10.2,0.309,1,214.2002
15,1,5,220520,223652,42.17200048,-90.11080405,4406,8.8,10.5,0.154,1,215.10059
16,1,6,220520,223653,42.17204428,-90.11079909,4034,4.8,9.5,-0.514,1,215.10059
17,1,7,220520,223654,42.17208019,-90.11080384,4212,354.4,7.8,-0.875,1,215.7998
18,1,8,220520,223655,42.1721082,-90.11082027,4441,336.5,6.6,-0.617,1,215.7998
19,1,9,220520,223656,42.17213,-90.11085,4808,314.7,6.7,0.051,1,216.40039
20,2,0,220520,223659,42.17203899,-90.11095156,4250,284.6,8,0.669,3,215
21,2,1,220520,223700,42.17204919,-90.11099631,4320,287.1,7.5,-0.257,1,215
22,2,2,220520,223701,42.17206284,-90.11103867,4178,293.5,7.4,-0.051,1,215.7998
23,2,3,220520,223702,42.17208417,-90.11107872,3883,305.7,7.9,0.257,1,215.7998
24,2,4,220520,223703,42.17211241,-90.11110903,3871,321.5,7.8,-0.051,1,215.7998
25,2,5,220520,223704,42.17211024,-90.11113131,4067,262.5,3.6,-2.161,1,215.7998
26,2,6,220520,223705,42.17210954,-90.11114,4298,263.8,1.4,-1.132,1,215.7998
27,2,7,220520,223706,42.17211,-90.11114,4078,0,0.1,-0.669,1,215.7998
28,2,8,220520,223707,42.17211,-90.11114,4120,0,0,-0.051,1,215.7998
29,2,9,220520,223708,42.17211,-90.11114,4025,0,0,0,1,215.7998
30,3,0,220520,223712,42.17211954,-90.11114,4005,0,0,-0.051,4,216.40039
31,3,1,220520,223713,42.17211954,-90.11114,3972,0,0,0,1,216.40039
32,3,2,220520,223714,42.17211954,-90.11114,4076,0,0,0,1,216.40039
33,3,3,220520,223715,42.17211954,-90.11114,4010,0,0,0,1,216.40039
34,3,4,220520,223716,42.17212,-90.11114,3990,0,0.1,0.051,1,216.40039
35,3,5,220520,223717,42.17212,-90.11114,3975,0,0,-0.051,1,216.40039
36,3,6,220520,223718,42.17212,-90.11114,3972,0,0,0,1,216.40039
37,3,7,220520,223719,42.17212,-90.11114,3973,0,0,0,1,216.40039
38,3,8,220520,223720,42.17212,-90.11114,3977,0,0,0,1,216.40039
39,3,9,220520,223721,42.17212,-90.11114,3975,0,0,0,1,216.40039
40,4,0,220520,223720,42.17212954,-90.11116,4007,0,0.1,0.051,-1,216.40039
41,4,1,220520,223721,42.17213,-90.11116,4019,0,0.1,0,1,216.40039
42,4,2,220520,223722,42.17213,-90.11116,3976,0,0,-0.051,1,216.40039
43,4,3,220520,223723,42.17213,-90.11116,3983,0,0,0,1,216.40039
44,4,4,220520,223724,42.17213,-90.11116,3980,0,0,0,1,216.40039
45,4,5,220520,223725,42.17213,-90.11116,3980,0,0,0,1,216.40039
46,4,6,220520,223726,42.17213,-90.11116,3979,0,0,0,1,216.40039
47,4,7,220520,223727,42.17213,-90.11116,3984,0,0,0,1,216.40039
48,4,8,220520,223728,42.17213,-90.11116,3978,0,0,0,1,216.40039
49,4,9,220520,223729,42.17213,-90.11116,3984,0,0,0,1,216.40039
50,5,0,220520,223744,42.17209521,-90.11178885,4475,267.5,11.8,0,15,213.10059
51,5,1,220520,223745,42.17209367,-90.1118631,4174,268.4,11.9,0.051,1,212.60059
52,5,2,220520,223746,42.17209271,-90.11193738,4442,269,11.9,0,1,212.2002
53,5,3,220520,223747,42.17208852,-90.11201082,4413,265.6,11.8,-0.051,1,211.7002
54,5,4,220520,223748,42.17208228,-90.11208149,4226,263.2,11.4,-0.206,1,211.7002
55,5,5,220520,223749,42.17207876,-90.11215499,4107,266.3,11.8,0.206,1,211.2998
56,5,6,220520,223750,42.1720759,-90.11222605,3979,266.9,11.4,-0.206,1,210.7002
57,5,7,220520,223751,42.17207287,-90.1122971,3978,266.7,11.4,0,1,209.90039
58,5,8,220520,223752,42.17207129,-90.11236886,4074,268.3,11.5,0.051,1,209.10059
59,5,9,220520,223753,42.17207,-90.11244,4154,268.6,11.4,-0.051,1,208.2998
60,6,0,220520,223749,42.1720655,-90.11214697,4440,264.7,9.5,-0.977,-4,211.2998
61,6,1,220520,223750,42.1720648,-90.11220689,4340,269.1,9.6,0.051,1,210.7002
62,6,2,220520,223751,42.1720713,-90.1122838,4474,276.5,12.4,1.44,1,209.90039
63,6,3,220520,223752,42.17207633,-90.1123584,4103,275.2,12,-0.206,1,209.10059
64,6,4,220520,223753,42.17207538,-90.11243205,4521,269,11.8,-0.103,1,209.10059
65,6,5,220520,223754,42.17207392,-90.11250256,3963,268.4,11.3,-0.257,1,208.2998
66,6,6,220520,223755,42.17207148,-90.1125724,4158,267.3,11.2,-0.051,1,207.5
67,6,7,220520,223756,42.17207032,-90.11264105,4105,268.7,11,-0.103,1,206.7002
68,6,8,220520,223757,42.17206777,-90.11271151,3925,267.2,11.3,0.154,1,205.7998
69,6,9,220520,223758,42.17206,-90.11278,4067,261.3,11.1,-0.103,1,205.7998
70,7,0,220520,223811,42.17167343,-90.11330586,5708,183.5,10.6,0.154,13,199.90039
71,7,1,220520,223812,42.17162534,-90.11330779,5144,181.7,10.4,-0.103,1,199.90039
72,7,2,220520,223813,42.17157769,-90.11330734,4946,179.6,10.3,-0.051,1,199.90039
73,7,3,220520,223814,42.17153096,-90.11330756,3964,180.2,10.1,-0.103,1,199.90039
74,7,4,220520,223815,42.17148331,-90.11330722,4337,179.7,10.3,0.103,1,199.90039
75,7,5,220520,223816,42.17143473,-90.11330608,4689,179,10.5,0.103,1,199.90039
76,7,6,220520,223817,42.1713871,-90.11330799,4200,181.7,10.3,-0.103,1,199.90039
77,7,7,220520,223818,42.17134077,-90.11331622,4967,187.5,10.1,-0.103,1,199.7002
78,7,8,220520,223819,42.17129771,-90.11332438,4187,188,9.4,-0.36,1,199.7002
79,7,9,220520,223820,42.17126,-90.11333,4721,186.3,8.2,-0.617,1,199.5
80,8,0,220520,223818,42.17127932,-90.11319256,4335,258.1,11,1.44,-2,201.7002
81,8,1,220520,223819,42.17126701,-90.11325726,4383,255.6,10.7,-0.154,1,200.5
82,8,2,220520,223820,42.17125281,-90.11331994,4257,253,10.5,-0.103,1,199.5
83,8,3,220520,223821,42.17122046,-90.11331773,4527,177.1,7,-1.801,1,199.2002
84,8,4,220520,223822,42.1711961,-90.11331026,4562,167.2,5.4,-0.823,1,199.2002
85,8,5,220520,223823,42.17118468,-90.11330516,4267,161.7,2.6,-1.44,1,199.2002
86,8,6,220520,223824,42.17118514,-90.11330516,4298,0,0.1,-1.286,1,199.2002
87,8,7,220520,223825,42.17118607,-90.11330516,4273,0,0.2,0.051,1,199.2002
88,8,8,220520,223826,42.1711838,-90.11330455,3823,168.6,0.5,0.154,1,199.2002
89,8,9,220520,223827,42.17119,-90.11331,4018,326.9,1.6,0.566,1,199.2002
90,9,0,220520,223830,42.1712229,-90.11334918,3990,338.3,3,0.103,3,199.2002
91,9,1,220520,223831,42.17123571,-90.1133592,4071,329.9,3.2,0.103,1,199.5
92,9,2,220520,223832,42.17124704,-90.11337301,4048,317.9,3.3,0.051,1,199.5
93,9,3,220520,223833,42.17125663,-90.11338822,4019,310.4,3.2,-0.051,1,198.7002
94,9,4,220520,223834,42.17126285,-90.11340496,3902,296.6,3,-0.103,1,198.7002
95,9,5,220520,223835,42.17126718,-90.11342341,4015,287.6,3.1,0.051,1,198.7002
96,9,6,220520,223836,42.17126912,-90.11344132,4112,278.3,2.9,-0.103,1,198.7002
97,9,7,220520,223837,42.17126983,-90.11345502,4041,274,2.2,-0.36,1,198.7002
98,9,8,220520,223838,42.17127004,-90.11346438,4244,271.7,1.5,-0.36,1,198.7002
99,9,9,220520,223839,42.17127,-90.11347,4028,269.5,0.9,-0.309,1,198
100,10,0,220520,223855,42.17129459,-90.112932,4142,268.4,0.5,-0.206,16,204.7998
101,10,1,220520,223856,42.17129607,-90.11291526,4015,83.2,2.7,1.132,1,204.7998
102,10,2,220520,223857,42.17129904,-90.11288117,4191,83.3,5.5,1.44,1,204.7998
103,10,3,220520,223858,42.17130241,-90.11281077,3864,86.3,11.3,2.984,1,205.2998
104,10,4,220520,223859,42.17130637,-90.11273981,4315,85.7,11.4,0.051,1,205.7002
105,10,5,220520,223900,42.17131029,-90.11266947,3959,85.7,11.3,-0.051,1,206
106,10,6,220520,223901,42.17131204,-90.11259834,4177,88.1,11.4,0.051,1,206.2998
107,10,7,220520,223902,42.1713138,-90.1125266,3962,88.1,11.5,0.051,1,206.2998
108,10,8,220520,223903,42.17131257,-90.11245358,4961,91.3,11.7,0.103,1,206.60059
109,10,9,220520,223904,42.17131,-90.11238,4426,92.7,11.8,0.051,1,206.90039
110,11,0,220520,223905,42.171286,-90.11222916,4191,343.1,2.9,-4.579,1,207.10059
111,11,1,220520,223906,42.17129855,-90.11223347,4108,345.7,2.8,-0.051,1,207.5
112,11,2,220520,223907,42.17129884,-90.11215981,4306,89.7,11.8,4.63,1,207.7002
113,11,3,220520,223908,42.17129767,-90.11208492,4570,91.2,12,0.103,1,207.7002
114,11,4,220520,223909,42.17129649,-90.11200878,4576,91.2,12.2,0.103,1,207.60059
115,11,5,220520,223910,42.17129669,-90.11193262,4524,89.8,12.2,0,1,207.60059
116,11,6,220520,223911,42.17129542,-90.11185711,5288,91.3,12.1,-0.051,1,207.5
117,11,7,220520,223912,42.17129398,-90.11178285,4287,91.5,11.9,-0.103,1,207.5
118,11,8,220520,223913,42.17129182,-90.1117105,4395,92.3,11.6,-0.154,1,206.7002
119,11,9,220520,223914,42.17129,-90.11164,4200,92,11.3,-0.154,1,206.60059
120,12,0,220520,223926,42.17127671,-90.11083774,4000,85.4,9.8,0,12,204.60059
121,12,1,220520,223927,42.17127986,-90.11077546,4212,86.1,10,0.103,1,204.2002
122,12,2,220520,223928,42.17128133,-90.11071245,4220,88.2,10.1,0.051,1,203.90039
