,Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds,Elevation,deltaSpin
0,0,0,0,220520,223632,42.17172329,-90.11036246,3796,181.5,2.3,1.183,0,208.7002,0.0
1,1,0,1,220520,223633,42.1717113,-90.11036119,4097,175.5,2.6,0.154,1,208.7002,-6.0
2,2,0,2,220520,223634,42.17170142,-90.11035791,4194,166.2,2.2,-0.20600000000000002,1,208.7002,-9.300000000000011
3,3,0,3,220520,223635,42.17169186,-90.11035317,3892,159.8,2.2,0.0,1,208.7002,-6.399999999999977
4,4,0,4,220520,223636,42.17168284,-90.11034683,4078,152.5,2.2,0.0,1,208.7002,-7.300000000000011
5,5,0,5,220520,223637,42.17167694,-90.11034188,4003,148.1,1.5,-0.36,1,208.7002,-4.400000000000006
6,6,0,6,220520,223638,42.17167079,-90.11040249,4389,262.2,9.8,4.27,1,208.10058999999998,114.1
7,7,0,7,220520,223639,42.17166971,-90.1104624,3964,268.6,9.6,-0.10300000000000001,1,208.10058999999998,6.400000000000034
8,8,0,8,220520,223640,42.17167312,-90.11051839,4290,274.7,9.0,-0.309,1,208.40039,6.099999999999966
9,9,0,9,220520,223641,42.17168,-90.11057,4106,280.2,8.4,-0.309,1,209.7002,5.5
10,10,1,0,220520,223647,42.17178842,-90.11080305,4213,331.6,7.0,-0.41200000000000003,6,211.40039,51.400000000000034
11,11,1,1,220520,223648,42.17182363,-90.11081375,4301,347.3,7.8,0.41200000000000003,1,212.40039,15.699999999999989
12,12,1,2,220520,223649,42.17186097,-90.11081798,4285,355.2,8.1,0.154,1,212.40039,7.899999999999977
13,13,1,3,220520,223650,42.17190538,-90.11081819,4364,359.8,9.6,0.772,1,213.2998,4.600000000000023
14,14,1,4,220520,223651,42.17195248,-90.11081408,4372,3.7,10.2,0.309,1,214.2002,-356.1
15,15,1,5,220520,223652,42.17200048,-90.11080405,4406,8.8,10.5,0.154,1,215.10058999999998,5.1000000000000005
16,16,1,6,220520,223653,42.17204428,-90.11079909,4034,4.8,9.5,-0.514,1,215.10058999999998,-4.000000000000001
17,17,1,7,220520,223654,42.17208019,-90.11080384,4212,354.4,7.8,-0.875,1,215.7998,349.59999999999997
18,18,1,8,220520,223655,42.172108200000004,-90.11082027,4441,336.5,6.6,-0.617,1,215.7998,-17.899999999999977
19,19,1,9,220520,223656,42.172129999999996,-90.11085,4808,314.7,6.7,0.051,1,216.40039,-21.80000000000001
20,20,2,0,220520,223659,42.17203899,-90.11095156,4250,284.6,8.0,0.669,3,215.0,-30.099999999999966
21,21,2,1,220520,223700,42.17204919,-90.11099631,4320,287.1,7.5,-0.257,1,215.0,2.5
22,22,2,2,220520,223701,42.17206284,-90.11103867,4178,293.5,7.4,-0.051,1,215.7998,6.399999999999977
23,23,2,3,220520,223702,42.17208417,-90.11107872,3883,305.7,7.9,0.257,1,215.7998,12.199999999999989
24,24,2,4,220520,223703,42.17211241,-90.11110903,3871,321.5,7.8,-0.051,1,215.7998,15.800000000000011
25,25,2,5,220520,223704,42.17211024,-90.11113131,4067,262.5,3.6,-2.161,1,215.7998,-59.0
26,26,2,6,220520,223705,42.17210954,-90.11114,4298,263.8,1.4,-1.1320000000000001,1,215.7998,1.3000000000000114
27,27,2,7,220520,223706,42.172109999999996,-90.11114,4078,0.0,0.1,-0.669,1,215.7998,-263.8
28,28,2,8,220520,223707,42.172109999999996,-90.11114,4120,0.0,0.0,-0.051,1,215.7998,0.0
29,29,2,9,220520,223708,42.172109999999996,-90.11114,4025,0.0,0.0,0.0,1,215.7998,0.0
30,30,3,0,220520,223712,42.17211954,-90.11114,4005,0.0,0.0,-0.051,4,216.40039,0.0
31,31,3,1,220520,223713,42.17211954,-90.11114,3972,0.0,0.0,0.0,1,216.40039,0.0
32,32,3,2,220520,223714,42.17211954,-90.11114,4076,0.0,0.0,0.0,1,216.40039,0.0
33,33,3,3,220520,223715,42.17211954,-90.11114,4010,0.0,0.0,0.0,1,216.40039,0.0
34,34,3,4,220520,223716,42.17212,-90.11114,3990,0.0,0.1,0.051,1,216.40039,0.0
35,35,3,5,220520,223717,42.17212,-90.11114,3975,0.0,0.0,-0.051,1,216.40039,0.0
36,36,3,6,220520,223718,42.17212,-90.11114,3972,0.0,0.0,0.0,1,216.40039,0.0
37,37,3,7,220520,223719,42.17212,-90.11114,3973,0.0,0.0,0.0,1,216.40039,0.0
38,38,3,8,220520,223720,42.17212,-90.11114,3977,0.0,0.0,0.0,1,216.40039,0.0
39,39,3,9,220520,223721,42.17212,-90.11114,3975,0.0,0.0,0.0,1,216.40039,0.0
40,40,4,0,220520,223720,42.17212954,-90.11116,4007,0.0,0.1,0.051,-1,216.40039,0.0
41,41,4,1,220520,223721,42.172129999999996,-90.11116,4019,0.0,0.1,0.0,1,216.40039,0.0
42,42,4,2,220520,223722,42.172129999999996,-90.11116,3976,0.0,0.0,-0.051,1,216.40039,0.0
43,43,4,3,220520,223723,42.172129999999996,-90.11116,3983,0.0,0.0,0.0,1,216.40039,0.0
44,44,4,4,220520,223724,42.172129999999996,-90.11116,3980,0.0,0.0,0.0,1,216.40039,0.0
45,45,4,5,220520,223725,42.172129999999996,-90.11116,3980,0.0,0.0,0.0,1,216.40039,0.0
46,46,4,6,220520,223726,42.172129999999996,-90.11116,3979,0.0,0.0,0.0,1,216.40039,0.0
47,47,4,7,220520,223727,42.172129999999996,-90.11116,3984,0.0,0.0,0.0,1,216.40039,0.0
48,48,4,8,220520,223728,42.172129999999996,-90.11116,3978,0.0,0.0,0.0,1,216.40039,0.0
49,49,4,9,220520,223729,42.172129999999996,-90.11116,3984,0.0,0.0,0.0,1,216.40039,0.0
50,50,5,0,220520,223744,42.17209521,-90.11178885,4475,267.5,11.8,0.0,15,213.10058999999998,267.5
51,51,5,1,220520,223745,42.17209367,-90.1118631,4174,268.4,11.9,0.051,1,212.60058999999998,0.8999999999999773
52,52,5,2,220520,223746,42.17209271,-90.11193738,4442,269.0,11.9,0.0,1,212.2002,0.6000000000000227
53,53,5,3,220520,223747,42.17208852,-90.11201082,4413,265.6,11.8,-0.051,1,211.7002,-3.3999999999999773
54,54,5,4,220520,223748,42.17208228,-90.11208149,4226,263.2,11.4,-0.20600000000000002,1,211.7002,-2.400000000000034
55,55,5,5,220520,223749,42.17207876,-90.11215499,4107,266.3,11.8,0.20600000000000002,1,211.2998,3.1000000000000227
56,56,5,6,220520,223750,42.172075899999996,-90.11222605,3979,266.9,11.4,-0.20600000000000002,1,210.7002,0.5999999999999659
57,57,5,7,220520,223751,42.17207287,-90.11229709999999,3978,266.7,11.4,0.0,1,209.90039,-0.19999999999998863
58,58,5,8,220520,223752,42.17207129,-90.11236886,4074,268.3,11.5,0.051,1,209.10058999999998,1.6000000000000227
59,59,5,9,220520,223753,42.17207,-90.11244,4154,268.6,11.4,-0.051,1,208.2998,0.30000000000001137
60,60,6,0,220520,223749,42.1720655,-90.11214697,4440,264.7,9.5,-0.977,-4,211.2998,-3.900000000000034
61,61,6,1,220520,223750,42.1720648,-90.11220689,4340,269.1,9.6,0.051,1,210.7002,4.400000000000034
62,62,6,2,220520,223751,42.1720713,-90.1122838,4474,276.5,12.4,1.44,1,209.90039,7.399999999999977
63,63,6,3,220520,223752,42.17207633,-90.1123584,4103,275.2,12.0,-0.20600000000000002,1,209.10058999999998,-1.3000000000000114
64,64,6,4,220520,223753,42.17207538,-90.11243205,4521,269.0,11.8,-0.10300000000000001,1,209.10058999999998,-6.199999999999989
65,65,6,5,220520,223754,42.17207392,-90.11250256,3963,268.4,11.3,-0.257,1,208.2998,-0.6000000000000227
66,66,6,6,220520,223755,42.17207148,-90.1125724,4158,267.3,11.2,-0.051,1,207.5,-1.099999999999966
67,67,6,7,220520,223756,42.17207032,-90.11264105,4105,268.7,11.0,-0.10300000000000001,1,206.7002,1.3999999999999773
68,68,6,8,220520,223757,42.17206777,-90.11271151,3925,267.2,11.3,0.154,1,205.7998,-1.5
69,69,6,9,220520,223758,42.172059999999995,-90.11278,4067,261.3,11.1,-0.10300000000000001,1,205.7998,-5.899999999999977
70,70,7,0,220520,223811,42.17167343,-90.11330586,5708,183.5,10.6,0.154,13,199.90039,-77.80000000000001
71,71,7,1,220520,223812,42.17162534,-90.11330779,5144,181.7,10.4,-0.10300000000000001,1,199.90039,-1.8000000000000114
72,72,7,2,220520,223813,42.17157769,-90.11330734,4946,179.6,10.3,-0.051,1,199.90039,-2.0999999999999943
73,73,7,3,220520,223814,42.17153096,-90.11330756,3964,180.2,10.1,-0.10300000000000001,1,199.90039,0.5999999999999943
74,74,7,4,220520,223815,42.17148331,-90.11330722,4337,179.7,10.3,0.10300000000000001,1,199.90039,-0.5
75,75,7,5,220520,223816,42.17143473,-90.11330608,4689,179.0,10.5,0.10300000000000001,1,199.90039,-0.6999999999999886
76,76,7,6,220520,223817,42.171387100000004,-90.11330799,4200,181.7,10.3,-0.10300000000000001,1,199.90039,2.6999999999999886
77,77,7,7,220520,223818,42.17134077,-90.11331622,4967,187.5,10.1,-0.10300000000000001,1,199.7002,5.800000000000011
78,78,7,8,220520,223819,42.17129771,-90.11332438,4187,188.0,9.4,-0.36,1,199.7002,0.5
79,79,7,9,220520,223820,42.17126,-90.11333,4721,186.3,8.2,-0.617,1,199.5,-1.6999999999999886
80,80,8,0,220520,223818,42.17127932,-90.11319256,4335,258.1,11.0,1.44,-2,201.7002,71.80000000000001
81,81,8,1,220520,223819,42.17126701,-90.11325726,4383,255.6,10.7,-0.154,1,200.5,-2.5000000000000284
82,82,8,2,220520,223820,42.17125281,-90.11331994,4257,253.0,10.5,-0.10300000000000001,1,199.5,-2.5999999999999943
83,83,8,3,220520,223821,42.17122046,-90.11331773,4527,177.1,7.0,-1.801,1,199.2002,-75.9
84,84,8,4,220520,223822,42.1711961,-90.11331026,4562,167.2,5.4,-0.823,1,199.2002,-9.900000000000006
85,85,8,5,220520,223823,42.17118468,-90.11330516,4267,161.7,2.6,-1.44,1,199.2002,-5.5
86,86,8,6,220520,223824,42.17118514,-90.11330516,4298,0.0,0.1,-1.286,1,199.2002,-161.7
87,87,8,7,220520,223825,42.17118607,-90.11330516,4273,0.0,0.2,0.051,1,199.2002,0.0
88,88,8,8,220520,223826,42.1711838,-90.11330455,3823,168.6,0.5,0.154,1,199.2002,168.6
89,89,8,9,220520,223827,42.17119,-90.11331,4018,326.9,1.6,0.5660000000000001,1,199.2002,158.29999999999998
90,90,9,0,220520,223830,42.1712229,-90.11334918,3990,338.3,3.0,0.10300000000000001,3,199.2002,11.400000000000034
91,91,9,1,220520,223831,42.17123571,-90.1133592,4071,329.9,3.2,0.10300000000000001,1,199.5,-8.400000000000034
92,92,9,2,220520,223832,42.17124704,-90.11337301,4048,317.9,3.3,0.051,1,199.5,-12.0
93,93,9,3,220520,223833,42.17125663,-90.11338822,4019,310.4,3.2,-0.051,1,198.7002,-7.5
94,94,9,4,220520,223834,42.17126285,-90.11340496,3902,296.6,3.0,-0.10300000000000001,1,198.7002,-13.799999999999955
95,95,9,5,220520,223835,42.17126718,-90.11342341,4015,287.6,3.1,0.051,1,198.7002,-9.0
96,96,9,6,220520,223836,42.17126912,-90.11344132,4112,278.3,2.9,-0.10300000000000001,1,198.7002,-9.300000000000011
97,97,9,7,220520,223837,42.17126983,-90.11345502,4041,274.0,2.2,-0.36,1,198.7002,-4.300000000000011
98,98,9,8,220520,223838,42.17127004,-90.11346438,4244,271.7,1.5,-0.36,1,198.7002,-2.3000000000000114
99,99,9,9,220520,223839,42.17127,-90.11346999999999,4028,269.5,0.9,-0.309,1,198.0,-2.1999999999999886
100,100,10,0,220520,223855,42.17129459,-90.112932,4142,268.4,0.5,-0.20600000000000002,16,204.7998,-1.1000000000000227
101,101,10,1,220520,223856,42.17129607,-90.11291526,4015,83.2,2.7,1.1320000000000001,1,204.7998,-185.2
102,102,10,2,220520,223857,42.17129904,-90.11288117,4191,83.3,5.5,1.44,1,204.7998,0.09999999999999432
103,103,10,3,220520,223858,42.17130241,-90.11281077,3864,86.3,11.3,2.984,1,205.2998,3.0
104,104,10,4,220520,223859,42.17130637,-90.11273981,4315,85.7,11.4,0.051,1,205.7002,-0.5999999999999943
105,105,10,5,220520,223900,42.17131029,-90.11266947,3959,85.7,11.3,-0.051,1,206.0,0.0
106,106,10,6,220520,223901,42.17131204,-90.11259834,4177,88.1,11.4,0.051,1,206.2998,2.3999999999999915
107,107,10,7,220520,223902,42.1713138,-90.1125266,3962,88.1,11.5,0.051,1,206.2998,0.0
108,108,10,8,220520,223903,42.17131257,-90.11245358,4961,91.3,11.7,0.10300000000000001,1,206.60058999999998,3.200000000000003
109,109,10,9,220520,223904,42.17131,-90.11238,4426,92.7,11.8,0.051,1,206.90039,1.4000000000000057
110,110,11,0,220520,223905,42.171286,-90.11222916,4191,343.1,2.9,-4.579,1,207.10058999999998,250.40000000000003
111,111,11,1,220520,223906,42.17129855,-90.11223347,4108,345.7,2.8,-0.051,1,207.5,2.599999999999966
