,Unnamed: 0,Unnamed: 0.1,Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds,Elevation,deltaSpin,deltaVelocity
0,0,0,0,0,0,220520,223637,42.17166174,-90.11033936,4202,262.2,9.8,0.72,0,207.7998,0.0,0.0
1,1,1,1,0,1,220520,223638,42.17165559,-90.11039997,3922,262.2,9.8,0.0,1,208.10058999999998,0.0,0.0
2,2,2,2,0,2,220520,223639,42.171654499999995,-90.11045988,4269,268.6,9.6,-0.10300000000000001,1,208.10058999999998,6.400000000000035,-0.20000000000000107
3,3,3,3,0,3,220520,223640,42.17165792,-90.11051588,4433,274.7,9.0,-0.309,1,208.40039,6.099999999999965,-0.5999999999999996
4,4,4,4,0,4,220520,223641,42.17166725,-90.1105642,4154,284.6,8.0,-0.514,1,208.7002,9.900000000000034,-1.0
5,5,5,5,0,5,220520,223642,42.17167658,-90.11061253,4051,284.6,8.0,0.0,1,209.7002,0.0,0.0
6,6,6,6,0,6,220520,223643,42.17168678,-90.11065728,4171,287.1,7.5,-0.257,1,210.10058999999998,2.5,-0.5
7,7,7,7,0,7,220520,223644,42.17170043,-90.11069964,4067,293.5,7.4,-0.051,1,210.10058999999998,6.399999999999977,-0.09999999999999964
8,8,8,8,0,8,220520,223645,42.17172176,-90.11073969,3954,305.7,7.9,0.257,1,210.40039,12.199999999999989,0.5
9,9,9,9,0,9,220520,223646,42.17175,-90.11077,4447,321.5,7.8,-0.051,1,211.40039,15.800000000000011,-0.10000000000000053
10,10,10,10,1,0,220520,223702,42.1721201,-90.11110903,3909,261.6,6.8,3.498,16,216.40039,-59.899999999999984,-1.0
11,11,11,11,1,1,220520,223703,42.17211792,-90.11113131,4294,262.5,3.6,-1.646,1,215.7998,0.8999999999999773,-3.1999999999999997
12,12,12,12,1,2,220520,223704,42.17211722,-90.11114,4158,263.8,1.4,-1.1320000000000001,1,215.7998,1.3000000000000114,-2.2
13,13,13,13,1,3,220520,223705,42.17211769,-90.11114,4063,0.0,0.1,-0.669,1,215.7998,-263.8,-1.2999999999999998
14,14,14,14,1,4,220520,223706,42.17211815,-90.11114,4056,0.0,0.1,0.0,1,215.7998,0.0,0.0
15,15,15,15,1,5,220520,223707,42.17211815,-90.11114,4104,0.0,0.0,-0.051,1,215.7998,0.0,-0.1
16,16,16,16,1,6,220520,223708,42.17211815,-90.11114,4076,0.0,0.0,0.0,1,215.7998,0.0,0.0
17,17,17,17,1,7,220520,223709,42.17211861,-90.11114,4054,0.0,0.1,0.051,1,215.7998,0.0,0.1
18,18,18,18,1,8,220520,223710,42.17211954,-90.11114,4000,0.0,0.2,0.051,1,216.40039,0.0,0.1
19,19,19,19,1,9,220520,223711,42.17212,-90.11114,4038,0.0,0.1,-0.051,1,216.40039,0.0,-0.1
20,20,20,20,2,0,220520,223733,42.17211555,-90.11111962,4022,264.0,0.6,0.309,22,215.7998,264.0,0.5
21,21,21,21,2,1,220520,223734,42.17211315,-90.11113552,4135,258.5,2.6,1.0290000000000001,1,215.7998,-5.5,2.0
22,22,22,22,2,2,220520,223735,42.17210834,-90.11117051,4302,259.5,5.7,1.595,1,215.7002,1.0,3.1
23,23,23,23,2,3,220520,223736,42.17210198,-90.11122477,4013,261.0,8.8,1.595,1,215.7002,1.5,3.1000000000000005
24,24,24,24,2,4,220520,223737,42.17209792,-90.11128382,4056,264.7,9.5,0.36,1,215.60058999999998,3.6999999999999886,0.6999999999999993
25,25,25,25,2,5,220520,223738,42.17209722,-90.11134374,4149,269.1,9.6,0.051,1,215.40039,4.400000000000034,0.09999999999999964
26,26,26,26,2,6,220520,223739,42.17209943,-90.11141484,3970,272.4,11.4,0.9259999999999999,1,215.10058999999998,3.2999999999999545,1.8000000000000007
27,27,27,27,2,7,220520,223740,42.17210592,-90.11149175,4049,276.5,12.4,0.514,1,215.10058999999998,4.100000000000024,1.0
28,28,28,28,2,8,220520,223741,42.17211095,-90.11156635,4187,275.2,12.0,-0.20600000000000002,1,214.60058999999998,-1.3000000000000114,-0.40000000000000036
29,29,29,29,2,9,220520,223742,42.172109999999996,-90.11164000000001,4139,269.0,11.8,-0.10300000000000001,1,214.0,-6.199999999999988,-0.1999999999999993
30,30,30,30,3,0,220520,223753,42.17208062,-90.11242808,4158,268.6,11.4,0.154,11,209.10058999999998,-0.3999999999999773,-0.40000000000000036
31,31,31,31,3,1,220520,223754,42.17207916,-90.11249859,4094,268.4,11.3,-0.051,1,208.2998,-0.20000000000004547,-0.09999999999999964
32,32,32,32,3,2,220520,223755,42.17207672,-90.11256843,3953,267.3,11.2,-0.051,1,207.5,-1.099999999999966,-0.10000000000000142
33,33,33,33,3,3,220520,223756,42.17207557,-90.11263708,3805,268.7,11.0,-0.10300000000000001,1,206.7002,1.3999999999999773,-0.1999999999999993
34,34,34,34,3,4,220520,223757,42.17207301,-90.11270753,4207,267.2,11.3,0.154,1,205.7998,-1.5,0.3000000000000007
35,35,35,35,3,5,220520,223758,42.17206524,-90.11277603,4518,261.3,11.1,-0.10300000000000001,1,205.7998,-5.899999999999977,-0.20000000000000107
36,36,36,36,3,6,220520,223759,42.17205475,-90.11284322,3916,258.1,11.0,-0.051,1,205.2002,-3.1999999999999886,-0.09999999999999964
37,37,37,37,3,7,220520,223800,42.17204244,-90.11290791,3982,255.6,10.7,-0.154,1,204.2002,-2.5000000000000284,-0.3000000000000007
38,38,38,38,3,8,220520,223801,42.17202824,-90.11297059999998,4099,253.0,10.5,-0.10300000000000001,1,203.2998,-2.5999999999999943,-0.1999999999999993
39,39,39,39,3,9,220520,223802,42.17201,-90.11303000000001,4380,247.5,10.3,-0.10300000000000001,1,203.2998,-5.5,-0.1999999999999993
40,40,40,40,4,0,220520,223820,42.17125742,-90.11333036,4026,186.3,8.2,3.395,18,199.5,-61.19999999999999,-2.1000000000000014
41,41,41,41,4,1,220520,223821,42.17122507,-90.11332815,4110,177.1,7.0,-0.617,1,199.2002,-9.200000000000015,-1.1999999999999993
42,42,42,42,4,2,220520,223822,42.17120071,-90.11332068,4523,167.2,5.4,-0.823,1,199.2002,-9.900000000000006,-1.5999999999999996
43,43,43,43,4,3,220520,223823,42.17118929,-90.11331558,4008,161.7,2.6,-1.44,1,199.2002,-5.5,-2.8000000000000003
44,44,44,44,4,4,220520,223824,42.17118975,-90.11331558,3973,0.0,0.1,-1.286,1,199.2002,-161.7,-2.5
45,45,45,45,4,5,220520,223825,42.17119068,-90.11331558,4082,0.0,0.2,0.051,1,199.2002,0.0,0.1
46,46,46,46,4,6,220520,223826,42.17118841,-90.11331497,3831,168.6,0.5,0.154,1,199.2002,168.6,0.3
47,47,47,47,4,7,220520,223827,42.17119461,-90.11332042,4125,326.9,1.6,0.5660000000000001,1,199.2002,158.29999999999995,1.1
48,48,48,48,4,8,220520,223828,42.17120745,-90.11332568,4073,343.1,2.9,0.669,1,199.2002,16.200000000000045,1.2999999999999998
49,49,49,49,4,9,220520,223829,42.17122,-90.11333,4054,345.7,2.8,-0.051,1,199.2002,2.599999999999966,-0.10000000000000009
50,50,50,50,5,0,220520,223916,42.17127429,-90.11149892,3790,90.6,11.2,-0.051,47,206.5,-255.1,8.399999999999999
51,51,51,51,5,1,220520,223917,42.17127271,-90.11142717,3718,91.7,11.5,0.154,1,206.2998,1.1000000000000083,0.3000000000000007
52,52,52,52,5,2,220520,223918,42.17127159,-90.11135539,3983,91.2,11.5,0.0,1,206.10058999999998,-0.5,0.0
