Id,Index,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,deltaSpin,deltaVelocity,isCurve
0,0,10620,120739,40.20206537,-89.71796,4257,0,0.1,0.051,0,0,0
1,0,10620,120740,40.2020663,-89.71796,4227,0,0.2,0.051,0,0.1,0
2,0,10620,120741,40.20206722,-89.71796,4203,0,0.2,0,0,0,0
3,0,10620,120742,40.20206769,-89.71796,4212,0,0.1,-0.051,0,-0.1,0
4,0,10620,120743,40.20206769,-89.71796,4220,0,0,-0.051,0,-0.1,0
5,0,10620,120744,40.20206815,-89.71796,4212,0,0.1,0.051,0,0.1,0
6,0,10620,120745,40.20206861,-89.71796,4203,0,0.1,0,0,0,0
7,0,10620,120746,40.20206861,-89.71796,4185,0,0,-0.051,0,-0.1,0
8,0,10620,120747,40.20206907,-89.71796,4293,0,0.1,0.051,0,0.1,0
9,0,10620,120748,40.20207,-89.71796,4248,0,0.2,0.051,0,0.1,0
10,1,10620,120749,40.20211722,-89.71802,4260,0,0.1,-0.051,0,-0.1,0
11,1,10620,120750,40.20211815,-89.71802,4190,0,0.2,0.051,0,0.1,0
12,1,10620,120751,40.20211861,-89.71802,4170,0,0.1,-0.051,0,-0.1,0
13,1,10620,120752,40.20211861,-89.71802,4171,0,0,-0.051,0,-0.1,0
14,1,10620,120753,40.20211907,-89.71802,4175,0,0.1,0.051,0,0.1,0
15,1,10620,120754,40.20211907,-89.71802,4238,0,0,-0.051,0,-0.1,0
16,1,10620,120755,40.20211954,-89.71802,4245,0,0.1,0.051,0,0.1,0
17,1,10620,120756,40.20211954,-89.71802,4227,0,0,-0.051,0,-0.1,0
18,1,10620,120757,40.20211954,-89.71802,4227,0,0,0,0,0,0
19,1,10620,120758,40.20212,-89.71802,4190,0,0.1,0.051,0,0.1,0
20,2,10620,120803,40.20211861,-89.71802,4218,0,0.1,0,0,0,0
21,2,10620,120804,40.20211861,-89.71802,4171,0,0,-0.051,0,-0.1,0
22,2,10620,120805,40.20211861,-89.71802,4265,0,0,0,0,0,0
23,2,10620,120806,40.20211861,-89.71802,4232,0,0,0,0,0,0
24,2,10620,120807,40.20211861,-89.71802,4282,0,0,0,0,0,0
25,2,10620,120808,40.20211907,-89.71802,4165,0,0.1,0.051,0,0.1,0
26,2,10620,120809,40.20211907,-89.71802,4257,0,0,-0.051,0,-0.1,0
27,2,10620,120810,40.20211954,-89.71802,4289,0,0.1,0.051,0,0.1,0
28,2,10620,120811,40.20211954,-89.71802,4168,0,0,-0.051,0,-0.1,0
29,2,10620,120812,40.20212,-89.71802,4326,0,0.1,0.051,0,0.1,0
30,3,10620,120813,40.20211722,-89.71802,4210,0,0,-0.051,0,-0.1,0
31,3,10620,120814,40.20211722,-89.71802,4306,0,0,0,0,0,0
32,3,10620,120815,40.20211722,-89.71802,4278,0,0,0,0,0,0
33,3,10620,120816,40.20211722,-89.71802,4334,0,0,0,0,0,0
34,3,10620,120817,40.20211769,-89.71802,4249,0,0.1,0.051,0,0.1,0
35,3,10620,120818,40.20211815,-89.71802,4223,0,0.1,0,0,0,0
36,3,10620,120819,40.20211861,-89.71802,4205,0,0.1,0,0,0,0
37,3,10620,120820,40.20211907,-89.71802,4336,0,0.1,0,0,0,0
38,3,10620,120821,40.20211954,-89.71802,4236,0,0.1,0,0,0,0
39,3,10620,120822,40.20212,-89.71802,4353,0,0.1,0,0,0,0
40,4,10620,120823,40.20211676,-89.71804,4219,0,0,-0.051,0,-0.1,0
41,4,10620,120824,40.20211676,-89.71804,4325,0,0,0,0,0,0
42,4,10620,120825,40.20211676,-89.71804,4208,0,0,0,0,0,0
43,4,10620,120826,40.20211722,-89.71804,4244,0,0.1,0.051,0,0.1,0
44,4,10620,120827,40.20211722,-89.71804,4245,0,0,-0.051,0,-0.1,0
45,4,10620,120828,40.20211769,-89.71804,4209,0,0.1,0.051,0,0.1,0
46,4,10620,120829,40.20211815,-89.71804,4254,0,0.1,0,0,0,0
47,4,10620,120830,40.20211861,-89.71804,4250,0,0.1,0,0,0,0
48,4,10620,120831,40.20211954,-89.71804,4374,0,0.2,0.051,0,0.1,0
49,4,10620,120832,40.20212,-89.71804,4191,0,0.1,-0.051,0,-0.1,0
50,5,10620,120837,40.20211861,-89.71804,4193,0,0,-0.051,0,-0.1,0
51,5,10620,120838,40.20211907,-89.71804,4144,0,0.1,0.051,0,0.1,0
52,5,10620,120839,40.20211907,-89.71804,4189,0,0,-0.051,0,-0.1,0
53,5,10620,120840,40.20211954,-89.71804,4232,0,0.1,0.051,0,0.1,0
54,5,10620,120841,40.20212,-89.71804,4238,0,0.1,0,0,0,0
55,5,10620,120842,40.20212,-89.71804,4243,0,0,-0.051,0,-0.1,0
56,5,10620,120843,40.20212,-89.71804,4243,0,0,0,0,0,0
57,5,10620,120844,40.20212,-89.71804,4262,0,0,0,0,0,0
58,5,10620,120845,40.20212,-89.71804,4232,0,0,0,0,0,0
59,5,10620,120846,40.20212,-89.71804,4220,0,0,0,0,0,0
60,6,10620,120847,40.20210907,-89.71804,4286,0,0,0,0,0,0
61,6,10620,120848,40.20210954,-89.71804,4151,0,0.1,0.051,0,0.1,0
62,6,10620,120849,40.20210954,-89.71804,4188,0,0,-0.051,0,-0.1,0
63,6,10620,120850,40.20211,-89.71804,4194,0,0.1,0.051,0,0.1,0
64,6,10620,120851,40.20211,-89.71804,4236,0,0,-0.051,0,-0.1,0
65,6,10620,120852,40.20211,-89.71804,4333,0,0,0,0,0,0
66,6,10620,120853,40.20211,-89.71804,4371,0,0,0,0,0,0
67,6,10620,120854,40.20211,-89.71804,4404,0,0,0,0,0,0
68,6,10620,120855,40.20211,-89.71804,4380,0,0,0,0,0,0
69,6,10620,120856,40.20211,-89.71804,4297,0,0,0,0,0,0
70,7,10620,120857,40.20209861,-89.71804,4200,0,0,0,0,0,0
71,7,10620,120858,40.20209907,-89.71804,4185,0,0.1,0.051,0,0.1,0
72,7,10620,120859,40.20209907,-89.71804,4164,0,0,-0.051,0,-0.1,0
73,7,10620,120900,40.20209954,-89.71804,4321,0,0.1,0.051,0,0.1,0
74,7,10620,120901,40.20209954,-89.71804,4392,0,0,-0.051,0,-0.1,0
75,7,10620,120902,40.2021,-89.71804,4354,0,0.1,0.051,0,0.1,0
76,7,10620,120903,40.2021,-89.71804,4336,0,0,-0.051,0,-0.1,0
77,7,10620,120904,40.2021,-89.71804,4184,0,0,0,0,0,0
78,7,10620,120905,40.2021,-89.71804,4207,0,0,0,0,0,0
79,7,10620,120906,40.2021,-89.71804,4357,0,0,0,0,0,0
80,8,10620,120911,40.20208815,-89.71804,4363,0,0,0,0,0,0
81,8,10620,120912,40.20208861,-89.71804,4309,0,0.1,0.051,0,0.1,0
82,8,10620,120913,40.20208907,-89.71804,4244,0,0.1,0,0,0,0
83,8,10620,120914,40.20208907,-89.71804,4273,0,0,-0.051,0,-0.1,0
84,8,10620,120915,40.20208907,-89.71804,4263,0,0,0,0,0,0
85,8,10620,120916,40.20208907,-89.71804,4286,0,0,0,0,0,0
86,8,10620,120917,40.20208907,-89.71804,4177,0,0,0,0,0,0
87,8,10620,120918,40.20208954,-89.71804,4213,0,0.1,0.051,0,0.1,0
88,8,10620,120919,40.20208954,-89.71804,4329,0,0,-0.051,0,-0.1,0
89,8,10620,120920,40.20209,-89.71804,4169,0,0.1,0.051,0,0.1,0
90,9,10620,120921,40.20209,-89.71804,4352,0,0,-0.051,0,-0.1,0
91,9,10620,120922,40.20209,-89.71804,4175,0,0,0,0,0,0
92,9,10620,120923,40.20209,-89.71804,4347,0,0,0,0,0,0
93,9,10620,120924,40.20209,-89.71804,4283,0,0,0,0,0,0
94,9,10620,120925,40.20209,-89.71804,4264,0,0,0,0,0,0
95,9,10620,120926,40.20209,-89.71804,4250,0,0,0,0,0,0
96,9,10620,120927,40.20209,-89.71804,4317,0,0,0,0,0,0
97,9,10620,120928,40.20209,-89.71804,4241,0,0,0,0,0,0
98,9,10620,120929,40.20209,-89.71804,4281,0,0,0,0,0,0
99,9,10620,120930,40.20209,-89.71804,4235,0,0,0,0,0,0
