Id,Index,SubIndex,Date,Time,Latitude,Longitude,A,Spin,Knots,Acceleration,Seconds
0,0,0,280520,210737,40.20211745,-89.7180843,4041,29.3,1.2,-0.051,0
1,0,1,280520,210738,40.20212183,-89.71808091,4060,30.6,1.1,-0.051,1
2,0,2,280520,210739,40.20212664,-89.71807727,4047,30,1.2,0.051,1
3,0,3,280520,210740,40.20213066,-89.71807428,4057,29.6,1,-0.103,1
4,0,4,280520,210741,40.20213509,-89.718071,4068,29.5,1.1,0.051,1
5,0,5,280520,210742,40.20213794,-89.71806898,4081,28.4,0.7,-0.206,1
6,0,6,280520,210743,40.20214162,-89.71806642,4053,28,0.9,0.103,1
7,0,7,280520,210744,40.20214444,-89.71806436,4090,29.2,0.7,-0.103,1
8,0,8,280520,210745,40.20214722,-89.71806218,4087,30.9,0.7,0,1
9,0,9,280520,210746,40.20215,-89.71806,4056,30.9,0.7,0,1
10,1,0,280520,210741,40.20213784,-89.71806812,4093,0,0,-0.36,-5
11,1,1,280520,210742,40.20213784,-89.71806812,4084,0,0,0,1
12,1,2,280520,210743,40.20213784,-89.71806812,4050,0,0,0,1
13,1,3,280520,210744,40.20213784,-89.71806812,4076,0,0,0,1
14,1,4,280520,210745,40.20213784,-89.71806812,4064,0,0,0,1
15,1,5,280520,210746,40.20214302,-89.71806411,4062,30.6,1.3,0.669,1
16,1,6,280520,210747,40.20214815,-89.71806,4085,31.5,1.3,0,1
17,1,7,280520,210748,40.20214907,-89.71806,4055,0,0.2,-0.566,1
18,1,8,280520,210749,40.20214954,-89.71806,4096,0,0.1,-0.051,1
19,1,9,280520,210750,40.20215,-89.71806,4078,0,0.1,0,1
20,2,0,290520,121907,40.20154716,-89.7182559,4107,222.9,4.6,0,54677
21,2,1,290520,121908,40.20153203,-89.7182755,4108,224.7,4.6,0,1
22,2,2,290520,121909,40.20151717,-89.71829544,4061,225.7,4.6,0,1
23,2,3,290520,121910,40.20150281,-89.71831518,4091,226.4,4.5,-0.051,1
24,2,4,290520,121911,40.20148896,-89.71833553,4134,228.3,4.5,0,1
25,2,5,290520,121912,40.20147483,-89.71835637,4084,228.4,4.6,0.051,1
26,2,6,290520,121913,40.20146085,-89.71837656,4109,227.8,4.5,-0.051,1
27,2,7,290520,121914,40.20144683,-89.71839753,4133,228.8,4.6,0.051,1
28,2,8,290520,121915,40.20143339,-89.71841835,4079,229.8,4.5,-0.051,1
29,2,9,290520,121916,40.20142,-89.71844,4129,231,4.6,0.051,1
30,3,0,290520,121940,40.20139114,-89.7189,4047,0,1.2,-1.749,24
31,3,1,290520,121941,40.20140224,-89.7189,4114,0,2.4,0.617,1
32,3,2,290520,121942,40.20140826,-89.7189,4082,0,1.3,-0.566,1
33,3,3,290520,121943,40.20141011,-89.7189,4063,0,0.4,-0.463,1
34,3,4,290520,121944,40.20141242,-89.7189,4066,0,0.5,0.051,1
35,3,5,290520,121945,40.20141381,-89.7189,4063,0,0.3,-0.103,1
36,3,6,290520,121946,40.20141705,-89.7189,4088,0,0.7,0.206,1
37,3,7,290520,121947,40.20142028,-89.7189,4055,0,0.7,0,1
38,3,8,290520,121948,40.20142584,-89.7189,4055,0,1.2,0.257,1
39,3,9,290520,121949,40.20143,-89.7189,4108,0,0.9,-0.154,1
40,4,0,290520,121942,40.20147799,-89.71875411,4110,231.3,4.5,1.852,-7
41,4,1,290520,121943,40.20146483,-89.71877601,4097,231.8,4.6,0.051,1
